WigleWifi-1.4,appRelease=2.53,model=D1-Mini-Pro,release=0.0.0,device=NetDash,display=SSD1306,board=ESP8266,brand=Wemos
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
E0:CB:BC:91:97:63,Starbucks WiFi,[ESS],2023-3-5 2:25:21,1,-71,33.887740,-118.029587,28.4,178,WIFI
E6:CB:BC:91:97:63,smll,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,1,-71,33.887740,-118.029587,28.4,178,WIFI
EA:CB:BC:91:97:63,notes,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,1,-70,33.887740,-118.029587,28.4,178,WIFI
EE:CB:BC:91:97:63,sip,[ESS],2023-3-5 2:25:21,1,-71,33.887740,-118.029587,28.4,178,WIFI
B0:39:56:A7:00:DD,Frontier8212,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,1,-79,33.887740,-118.029587,28.4,178,WIFI
D8:38:FC:88:60:28,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,1,-91,33.887740,-118.029587,28.4,178,WIFI
D8:38:FC:C8:60:28,DWW-SFS,[WEP][ESS],2023-3-5 2:25:21,1,-89,33.887740,-118.029587,28.4,178,WIFI
D8:38:FC:48:60:29,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,1,-89,33.887740,-118.029587,28.4,178,WIFI
4C:AB:F8:0C:DF:7A,Verizon_9KFYY4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,1,-89,33.887740,-118.029587,28.4,178,WIFI
52:AB:F8:0C:DF:7A,Verizon_9KFYY4_Guest,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,1,-89,33.887740,-118.029587,28.4,178,WIFI
D8:38:FC:48:39:29,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,1,-91,33.887740,-118.029587,28.4,178,WIFI
04:18:D6:C2:29:AF,DWW-IT-WiFi-Extender,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,1,-81,33.887740,-118.029587,28.4,178,WIFI
E8:48:B8:10:DC:34,TP-Link_DC34,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,2,-77,33.887740,-118.029587,28.4,178,WIFI
E8:1D:A8:3D:8B:58,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,4,-83,33.887740,-118.029587,28.4,178,WIFI
E8:1D:A8:7D:8B:58,DWW-BC2,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,4,-83,33.887740,-118.029587,28.4,178,WIFI
E8:1D:A8:BD:8B:58,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,4,-83,33.887740,-118.029587,28.4,178,WIFI
E8:1D:A8:FD:8B:58,DWW-SFS,[WEP][ESS],2023-3-5 2:25:21,4,-84,33.887740,-118.029587,28.4,178,WIFI
E8:1D:A8:3D:8B:59,DWW-BC,[WEP][ESS],2023-3-5 2:25:21,4,-83,33.887740,-118.029587,28.4,178,WIFI
00:30:44:62:91:D7,KIMSBY HOUSE 2G,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,6,-90,33.887740,-118.029587,28.4,178,WIFI
00:80:AE:C0:83:81,hug2g843283,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,1,-77,33.887740,-118.029587,28.4,178,WIFI
D8:38:FC:0A:7E:98,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,7,-83,33.887740,-118.029587,28.4,178,WIFI
D8:38:FC:4A:7E:98,DWW-BC2,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,7,-80,33.887740,-118.029587,28.4,178,WIFI
D8:38:FC:8A:7E:98,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:21,7,-83,33.887740,-118.029587,28.4,178,WIFI
D8:38:FC:CA:7E:98,DWW-SFS,[WEP][ESS],2023-3-5 2:25:21,7,-81,33.887740,-118.029587,28.4,178,WIFI
D8:38:FC:0A:7E:99,DWW-BC,[WEP][ESS],2023-3-5 2:25:21,7,-80,33.887740,-118.029587,28.4,178,WIFI
